CODIGO_ESTADO,ESTADO,elecciones 2018,presidente 2018,candidatos 2018,INTERES_TOTAL,POBLACION,%ENGAGEMENT,%POBLACION_ENGAGED
1,Aguascalientes,54,0,61,3.40%,1321453,44565.1305,1.10%
2,Baja California,40,9,40,2.60%,3584605,93557.1393,2.20%
3,Baja California Sur,44,0,0,1.30%,809833,10449.45806,0.20%
4,Campeche,52,0,70,3.60%,935047,33453.29443,0.80%
5,Coahuila,36,0,54,2.60%,3029740,79963.81232,1.90%
7,Chiapas,54,20,73,4.30%,5382083,232013.5487,5.50%
8,Chihuahua,28,15,45,2.60%,3782018,97600.46452,2.30%
9,Distrito Federal,61,16,69,4.30%,8811266,377256.5501,8.90%
10,Durango,47,0,39,2.50%,1799320,45378.74487,1.10%
11,Guanajuato,36,15,47,2.90%,5908845,169814.3138,4.00%
12,Guerrero,61,0,39,2.90%,3607210,105783.2845,2.50%
13,Hidalgo,63,0,72,4.00%,2947206,116678.2434,2.80%
14,Jalisco,43,13,59,3.40%,8110943,273536.2009,6.50%
15,Estado de Mexico,44,17,60,3.50%,17363387,616120.1839,14.50%
16,Michoacan,50,16,53,3.50%,4658159,162557.4548,3.80%
17,Morelos,57,0,100,4.60%,1965487,90493.09648,2.10%
19,Nuevo Leon,50,14,59,3.60%,5229492,188629.7701,4.50%
20,Oaxaca,41,0,41,2.40%,4061497,97666.49677,2.30%
21,Puebla,66,18,78,4.80%,6313789,299951.2663,7.10%
22,Queretaro,54,11,74,4.10%,2063148,84098.99472,2.00%
23,Quintana Roo,41,0,44,2.50%,1664667,41494.63196,1.00%
24,San Luis Potosi,76,0,58,3.90%,2801839,110101.5912,2.60%
25,Sinaloa,36,0,38,2.20%,3034942,65860.91144,1.60%
26,Sonora,32,13,56,3.00%,3011810,89206.10264,2.10%
27,Tabasco,64,0,82,4.30%,2431339,104098.3853,2.50%
28,Tamaulipas,51,0,48,2.90%,3622605,105172.4032,2.50%
29,Tlaxcala,46,0,65,3.30%,1313067,42742.06364,1.00%
30,Veracruz,55,21,57,3.90%,8163963,318418.4982,7.50%
31,Yucatan,60,16,65,4.10%,2172839,89844.66246,2.10%
32,Zacatecas,40,0,68,3.20%,1600412,50687.53548,1.20%
